experiment,feature_version,hp_config,n_estimators,max_depth,rmse,mae,r2,n_train,n_test
v2_hp_a,v2,hp_a,100,8,159.96042392407813,122.63163279012574,0.6689097291027445,24152,6038
v1_hp_a,v1,hp_a,100,8,165.45651428153556,128.57614505792756,0.6473886920675512,24152,6038
v2_hp_b,v2,hp_b,300,20,173.10867708748364,132.82513811069327,0.6122435762449088,24152,6038
v1_hp_b,v1,hp_b,300,20,182.86292559966736,142.0014353538845,0.5692950910323336,24152,6038
