dataset,n,rmse,mae,r2,pred_mean,pred_std,pred_min,pred_max,actual_mean
original,610.0,20.31424172521332,15.114558545027283,0.49566660676380514,178.77308636513686,21.266488411814343,115.59915285124251,247.24854087894852,178.88590163934424
scenario_a,610.0,21.12576372143631,15.923900319675651,0.45456710163570735,173.0857117088634,21.266488411814343,109.9117781949691,241.56116622267507,178.88590163934424
scenario_ab,610.0,20.324049942835,15.128531145363953,0.4951794799574185,178.24456202997334,21.266488411814343,115.07062851607901,246.720016543785,178.88590163934424
scenario_abc,610.0,25.6933160822185,20.419908799859588,0.19321686278876204,163.6446182896038,21.51291137247802,100.15276305271986,231.80215108042586,178.88590163934424
