model,dataset,cv_r2_train,n,rmse,mae,r2,pred_mean,pred_std,pred_min,pred_max,actual_mean
linear,original,0.5019815475171645,610,20.31424172521332,15.114558545027283,0.49566660676380514,178.77308636513686,21.266488411814343,115.59915285124251,247.24854087894852,178.88590163934424
linear,scenario_a,,610,21.12576372143631,15.923900319675651,0.45456710163570735,173.0857117088634,21.266488411814343,109.9117781949691,241.56116622267507,178.88590163934424
linear,scenario_ab,,610,20.324049942835,15.128531145363953,0.4951794799574185,178.24456202997334,21.266488411814343,115.07062851607901,246.720016543785,178.88590163934424
linear,scenario_abc,,610,25.6933160822185,20.419908799859588,0.19321686278876204,163.6446182896038,21.51291137247802,100.15276305271986,231.80215108042586,178.88590163934424
random_forest,original,0.5222052891535072,610,19.36631204174186,14.196498985263366,0.5416361660705953,179.50086614205316,21.709590521709707,112.18004816017314,256.06497301587297,178.88590163934424
random_forest,scenario_a,,610,21.034896874643344,15.925067380606643,0.4592490795174218,185.1079910526116,22.137545410093004,112.84076482683977,255.32892724867716,178.88590163934424
random_forest,scenario_ab,,610,22.163403231388493,17.08367445923839,0.39967090942389805,187.59878468432294,22.52971686650712,113.02713427128425,255.5827472222222,178.88590163934424
random_forest,scenario_abc,,610,21.467719498240196,16.41464529274913,0.4367667084566974,184.93479796044875,22.082483229086435,113.02380649350648,255.1221138888889,178.88590163934424
