feature,std_coef,raw_unit_coef
incidenceRate,10.751461148323648,0.19560844392902846
PctBachDeg25_Over,-7.490690139206486,-1.4242970680232272
PctPrivateCoverage,-7.031995824459303,-0.6655701661055721
PctMarriedHouseholds,-6.526653572970995,-0.999214020674094
PercentMarried,6.183762311627469,0.8967706295657091
PctEmpPrivCoverage,3.554986892143791,0.37671411050634823
PctEmployed16_Over,-3.4916664663057024,-0.4347071635875466
MedianAgeMale,-3.4645464787573337,-0.6567719498034201
PctOtherRace,-3.2110585857847624,-0.9024139654048183
PctWhite,-3.0501680762531893,-0.18577362787408772
PctPublicCoverage,-3.0166974371145465,-0.39228939563650506
PctHS25_Over,2.580880066692348,0.3690515467030318
PctHS18_24,2.404208849024691,0.2657627718012576
PctBlack,-2.2126624509413753,-0.1539588198762941
PctPublicCoverageAlone,2.172358202658841,0.36252923698031
avgAnnCount,-2.002749293167133,-0.0015541607071566845
BirthRate,-1.8682828828006843,-0.9389105921133966
AvgHouseholdSize,-1.8659925205946604,-7.458932731679571
medIncome,1.6833465463974016,0.00014218436640683546
povertyPercent,1.638030684841706,0.2579425160554951
MedianAge,1.423693886491607,0.27266507914683835
popEst2015,1.1355078012886664,3.915297695609142e-06
PctNoHS18_24,-1.0944469950587854,-0.13421534181955055
MedianAgeFemale,-0.9838141490722695,-0.18425300863897906
PctUnemployed16_Over,0.6356615903715677,0.18520847296568382
PctAsian,-0.07177017473568176,-0.027775656851476746
studyPerCap,0.0393382098120382,7.348379077049025e-05
PctBachDeg18_24,0.005070050950499154,0.0011100992085587113
